timestamp,regime,receiver,provider,email_number,subject,smtp_status,delivery_status,response_time
2025-11-23T13:15:59Z,dmarc-reject,aglishlabs.msc@gmail.com,gmail,1,Legitymate Test - dmarc-reject - gmail - 20251123T1315_dmarc-reject,221,ACCEPTED,1.34
2025-11-23T13:16:02Z,dmarc-reject,aglishlabs.msc@gmail.com,gmail,2,Legitymate Test - dmarc-reject - gmail - 20251123T1315_dmarc-reject,221,ACCEPTED,0.84
2025-11-23T13:16:05Z,dmarc-reject,aglishlabs.msc@gmail.com,gmail,3,Legitymate Test - dmarc-reject - gmail - 20251123T1315_dmarc-reject,221,ACCEPTED,0.78
2025-11-23T13:16:08Z,dmarc-reject,aglishlabs.msc@gmail.com,gmail,4,Legitymate Test - dmarc-reject - gmail - 20251123T1315_dmarc-reject,221,ACCEPTED,0.98
2025-11-23T13:16:10Z,dmarc-reject,aglishlabs.msc@gmail.com,gmail,5,Legitymate Test - dmarc-reject - gmail - 20251123T1315_dmarc-reject,221,ACCEPTED,0.76
2025-11-23T13:16:13Z,dmarc-reject,aglishlabs.msc@gmail.com,gmail,6,Legitymate Test - dmarc-reject - gmail - 20251123T1315_dmarc-reject,221,ACCEPTED,0.76
2025-11-23T13:16:16Z,dmarc-reject,aglishlabs.msc@gmail.com,gmail,7,Legitymate Test - dmarc-reject - gmail - 20251123T1315_dmarc-reject,221,ACCEPTED,0.77
2025-11-23T13:16:19Z,dmarc-reject,aglishlabs.msc@gmail.com,gmail,8,Legitymate Test - dmarc-reject - gmail - 20251123T1315_dmarc-reject,221,ACCEPTED,0.77
2025-11-23T13:16:21Z,dmarc-reject,aglishlabs.msc@gmail.com,gmail,9,Legitymate Test - dmarc-reject - gmail - 20251123T1315_dmarc-reject,221,ACCEPTED,0.77
2025-11-23T13:16:24Z,dmarc-reject,aglishlabs.msc@gmail.com,gmail,10,Legitymate Test - dmarc-reject - gmail - 20251123T1315_dmarc-reject,221,ACCEPTED,0.77
2025-11-23T13:16:27Z,dmarc-reject,aglishlabs_msc@yahoo.com,yahoo,1,Legitymate Test - dmarc-reject - yahoo - 20251123T1315_dmarc-reject,221,ACCEPTED,0.78
2025-11-23T13:16:30Z,dmarc-reject,aglishlabs_msc@yahoo.com,yahoo,2,Legitymate Test - dmarc-reject - yahoo - 20251123T1315_dmarc-reject,221,ACCEPTED,0.85
2025-11-23T13:16:33Z,dmarc-reject,aglishlabs_msc@yahoo.com,yahoo,3,Legitymate Test - dmarc-reject - yahoo - 20251123T1315_dmarc-reject,221,ACCEPTED,0.84
2025-11-23T13:16:36Z,dmarc-reject,aglishlabs_msc@yahoo.com,yahoo,4,Legitymate Test - dmarc-reject - yahoo - 20251123T1315_dmarc-reject,221,ACCEPTED,0.77
2025-11-23T13:16:38Z,dmarc-reject,aglishlabs_msc@yahoo.com,yahoo,5,Legitymate Test - dmarc-reject - yahoo - 20251123T1315_dmarc-reject,221,ACCEPTED,0.75
2025-11-23T13:16:41Z,dmarc-reject,aglishlabs_msc@yahoo.com,yahoo,6,Legitymate Test - dmarc-reject - yahoo - 20251123T1315_dmarc-reject,221,ACCEPTED,0.84
2025-11-23T13:16:44Z,dmarc-reject,aglishlabs_msc@yahoo.com,yahoo,7,Legitymate Test - dmarc-reject - yahoo - 20251123T1315_dmarc-reject,221,ACCEPTED,0.76
2025-11-23T13:16:47Z,dmarc-reject,aglishlabs_msc@yahoo.com,yahoo,8,Legitymate Test - dmarc-reject - yahoo - 20251123T1315_dmarc-reject,221,ACCEPTED,0.77
2025-11-23T13:16:50Z,dmarc-reject,aglishlabs_msc@yahoo.com,yahoo,9,Legitymate Test - dmarc-reject - yahoo - 20251123T1315_dmarc-reject,221,ACCEPTED,0.76
2025-11-23T13:16:52Z,dmarc-reject,aglishlabs_msc@yahoo.com,yahoo,10,Legitymate Test - dmarc-reject - yahoo - 20251123T1315_dmarc-reject,221,ACCEPTED,0.85
2025-11-23T13:16:55Z,dmarc-reject,aglishlabs_msc@hotmail.com,hotmail,1,Legitymate Test - dmarc-reject - hotmail - 20251123T1315_dmarc-reject,221,ACCEPTED,0.93
2025-11-23T13:16:58Z,dmarc-reject,aglishlabs_msc@hotmail.com,hotmail,2,Legitymate Test - dmarc-reject - hotmail - 20251123T1315_dmarc-reject,221,ACCEPTED,0.76
2025-11-23T13:17:01Z,dmarc-reject,aglishlabs_msc@hotmail.com,hotmail,3,Legitymate Test - dmarc-reject - hotmail - 20251123T1315_dmarc-reject,221,ACCEPTED,0.75
2025-11-23T13:17:04Z,dmarc-reject,aglishlabs_msc@hotmail.com,hotmail,4,Legitymate Test - dmarc-reject - hotmail - 20251123T1315_dmarc-reject,221,ACCEPTED,0.84
